time,voltage,current
22.80,3.8198,0.9875
22.90,3.8145,1.0119
23.00,3.8129,1.0180
23.10,3.8123,1.0145
23.20,3.8116,1.0167
23.30,3.8102,1.0227
23.40,3.8113,1.0195
23.50,3.8133,1.0056
23.60,3.8115,1.0094
23.70,3.8125,1.0005
23.80,3.8119,1.0056
23.90,3.8111,1.0154
24.00,3.8113,1.0151
24.10,3.8085,1.0155
24.20,3.8112,1.0065
24.30,3.8087,1.0167
24.40,3.8112,1.0053
24.50,3.8108,1.0053
24.60,3.8107,1.0030
24.70,3.8121,1.0021
24.80,3.8101,1.0027
24.90,3.8115,0.9983
25.00,3.8096,1.0056
25.10,3.8112,0.9916
25.20,3.8106,0.9926
25.30,3.8096,1.0049
25.40,3.8110,0.9983
25.50,3.8107,0.9973
25.60,3.8084,0.9992
25.70,3.8091,0.9983
25.80,3.8092,1.0015
25.90,3.8072,1.0040
26.00,3.8076,1.0037
26.10,3.8083,0.9986
26.20,3.8088,1.0021
26.30,3.8065,1.0084
26.40,3.8082,1.0005
26.50,3.8080,1.0008
26.60,3.8055,1.0103
26.70,3.8074,0.9967
26.80,3.8067,0.9999
26.90,3.8071,0.9999
27.00,3.8035,1.0154
27.10,3.8057,1.0008
27.20,3.8056,0.9970
27.30,3.8043,1.0065
27.40,3.8054,1.0007
27.50,3.8055,1.0018
27.60,3.8025,1.0100
27.70,3.8047,1.0034
27.80,3.8046,1.0030
27.90,3.8049,1.0030
28.00,3.8014,1.0145
28.10,3.8045,0.9992
28.20,3.8035,1.0008
28.30,3.8022,1.0078
28.40,3.8035,1.0005
28.50,3.8030,1.0031
28.60,3.8023,1.0068
28.70,3.8023,1.0046
28.80,3.8024,1.0062
28.90,3.8028,1.0002
29.00,3.7992,1.0157
29.10,3.8025,1.0002
29.20,3.8023,0.9954
29.30,3.7999,1.0075
29.40,3.8015,1.0034
29.50,3.8015,1.0014
29.60,3.8012,1.0005
29.70,3.7996,1.0075
29.80,3.8007,1.0034
29.90,3.8013,0.9980
30.00,3.7976,1.0151
30.10,3.8002,1.0043
30.20,3.8006,1.0021
30.30,3.7982,1.0084
30.40,3.8000,1.0002
30.50,3.7998,1.0005
30.60,3.7994,1.0035
30.70,3.7986,1.0011
30.80,3.7991,0.9992
30.90,3.7994,1.0008
31.00,3.7961,1.0094
31.10,3.7993,0.9996
31.20,3.7985,0.9961
31.30,3.7967,1.0059
31.40,3.7981,0.9992
31.50,3.7982,0.9999
31.60,3.7976,1.0027
31.70,3.7959,1.0088
31.80,3.7993,0.9888
31.90,3.7989,0.9894
32.00,3.7936,1.0167
32.10,3.7975,1.0008
32.20,3.7990,0.9916
32.30,3.7959,1.0015
32.40,3.7960,1.0008
32.50,3.7961,1.0018
32.60,3.7968,0.9951
32.70,3.7947,1.0084
32.80,3.7969,0.9905
32.90,3.7963,0.9961
33.00,3.7918,1.0138
33.10,3.7962,0.9945
33.20,3.7972,0.9878
33.30,3.7942,1.0034
33.40,3.7938,1.0059
33.50,3.7951,0.9961
33.60,3.7937,1.0018
33.70,3.7931,1.0021
33.80,3.7944,0.9964
33.90,3.7943,0.9979
34.00,3.7926,1.0030
